gene1,gene2,max
MSH3,RPA2,0.9998
MSH6,RPA2,0.9998
MLH1,RPA2,0.9998
EXO1,RPA2,0.9998
RFC2,RPA2,0.9998
RFC4,RPA2,0.9998
MSH2,PCNA,0.999384615384615
MSH2,RPA2,0.999384615384615
MSH2,RFC3,0.999162393162393
RFC2,RFC1,0.9978
MSH2,MLH1,0.996590964590965
MSH2,EXO1,0.996590964590965
MSH6,RFC1,0.994
MLH1,RFC1,0.994
EXO1,RFC1,0.994
MSH6,EXO1,0.993333333333333
MSH2,LIG1,0.991412393162393
MSH2,MSH3,0.990262393162393
POLD2,MSH2,0.990162393162393
POLD3,MSH2,0.990162393162393
RFC4,RFC1,0.99
PCNA,RFC1,0.988
MLH1,EXO1,0.987333333333333
PCNA,RPA1,0.986422843633998
MSH2,RPA1,0.982529986491141
PCNA,RPA2,0.9818
MSH2,MSH6,0.97482905982906
MSH2,HMGB1,0.97482905982906
MSH2,RFC1,0.97482905982906
MSH2,RFC5,0.974138583638584
PCNA,RFC2,0.974027397112691
MSH2,PMS2,0.971012393162393
MSH3,RFC1,0.97
MLH1,PCNA,0.969233333333333
EXO1,PCNA,0.969233333333333
MSH6,MLH1,0.966233333333333
POLD1,PCNA,0.956893977591036
MSH6,RFC5,0.955233333333333
RFC1,RPA2,0.953830571715866
MSH6,PCNA,0.953233333333333
PCNA,RPA3,0.951391651925298
POLD1,MSH2,0.944980574980575
MSH2,RPA3,0.94122648844749
RPA1,RPA3,0.94122648844749
PCNA,RFC4,0.936521145742743
MSH6,RFC3,0.931133333333333
PMS2,RPA2,0.931133333333333
MSH3,MSH6,0.929233333333333
MSH6,HMGB1,0.926684149184149
HMGB1,RFC1,0.926684149184149
MLH1,HMGB1,0.919350815850816
EXO1,HMGB1,0.919350815850816
POLD1,RPA2,0.917893977591036
HMGB1,RPA2,0.917017482517483
MSH4,PCNA,0.90928663003663
MLH1,RFC5,0.906566666666667
EXO1,RFC5,0.906566666666667
POLD4,MSH2,0.905575091575092
MSH2,MLH3,0.905575091575092
MSH2,PMS1,0.905575091575092
MSH2,MSH5,0.905575091575092
MSH5,RPA2,0.905575091575092
MSH2,MSH4,0.905217948717949
MSH2,RFC2,0.904320254255549
MSH3,PCNA,0.902
RFC3,RFC1,0.896397883624744
MSH6,RPA1,0.891941812881875
HMGB1,RPA1,0.891941812881875
RFC1,RPA1,0.891941812881875
MSH3,EXO1,0.882666666666667
RFC2,RFC4,0.87122440089832
MSH2,RFC4,0.861828688200286
RFC2,RPA1,0.855802259341161
RFC4,RPA1,0.855802259341161
RFC5,RPA2,0.855802259341161
MSH6,RFC2,0.855632159017453
HMGB1,RFC2,0.855632159017453
HMGB1,RFC5,0.848517482517483
LIG1,RPA2,0.846409523809524
MSH4,RPA1,0.845488835352512
MSH3,MLH1,0.845233333333334
MLH1,RPA1,0.843222258665882
EXO1,RPA1,0.843222258665882
MSH3,RFC5,0.833
POLD2,RPA1,0.822391216304893
POLD3,RPA1,0.822391216304893
MSH4,RPA2,0.821977106227106
POLD4,RPA1,0.817901096471739
MLH3,RPA1,0.817901096471739
PMS1,RPA1,0.817901096471739
MSH5,RPA1,0.817901096471739
POLD2,PCNA,0.812609523809524
MSH3,HMGB1,0.807184149184149
POLD1,MSH6,0.796918336565395
POLD1,HMGB1,0.796918336565395
POLD1,RFC1,0.796918336565395
RFC3,RPA2,0.789186528313389
MSH6,MSH4,0.781143772893773
MSH4,HMGB1,0.781143772893773
MSH4,RFC1,0.781143772893773
MSH6,RPA3,0.77956691900879
HMGB1,RPA3,0.77956691900879
RFC1,RPA3,0.77956691900879
LIG1,PCNA,0.768
POLD3,MSH3,0.760333333333333
POLD1,MLH1,0.742951669898729
POLD1,EXO1,0.742951669898729
POLD2,PMS2,0.7405
POLD2,RPA2,0.738147619047619
POLD3,RPA2,0.738147619047619
MLH1,RFC3,0.738147619047619
EXO1,RFC3,0.738147619047619
RFC2,RFC5,0.738147619047619
PMS2,PCNA,0.738
MSH3,RPA1,0.733034005372907
RFC2,RPA3,0.732389574750121
RFC4,RPA3,0.732389574750121
RFC5,RPA3,0.732389574750121
MSH3,MLH3,0.722
MLH1,RFC2,0.718117007502301
EXO1,RFC2,0.718117007502301
POLD3,MLH1,0.706852380952381
MSH6,RPA4,0.706852380952381
PMS2,RFC5,0.702333333333333
PMS2,RFC1,0.696347619047619
MSH3,RPA3,0.695015573689742
PMS2,EXO1,0.693757142857143
MSH6,RFC4,0.685712058338919
HMGB1,RFC4,0.685712058338919
MLH1,RPA3,0.682585180995883
EXO1,RPA3,0.682585180995883
MSH3,PMS1,0.676366666666667
LIG1,RFC5,0.673233333333333
POLD4,MLH1,0.672085714285714
MLH1,MLH3,0.672085714285714
POLD2,RPA3,0.671903891258432
POLD3,RPA3,0.671903891258432
MSH3,PMS2,0.670566666666667
LIG1,RFC1,0.664257142857143
POLD4,RPA2,0.663557142857143
MLH3,RPA2,0.663557142857143
PMS1,RPA2,0.663557142857143
RFC4,RFC3,0.663557142857143
PMS1,PCNA,0.662557142857143
RPA1,RPA4,0.662557142857143
MSH6,PMS1,0.660414285714286
PMS1,RFC1,0.660414285714286
LIG1,RPA3,0.655546583567325
POLD1,MSH5,0.640253735153735
LIG1,RPA1,0.635908816678376
PMS2,RPA3,0.633901142433394
POLD2,LIG1,0.6323
HMGB1,RFC3,0.630350815850816
RFC3,RPA3,0.629273216451393
RPA2,RPA4,0.629273216451393
MLH1,MSH4,0.626322893772894
MSH4,EXO1,0.626322893772894
POLD2,POLD3,0.6253
POLD2,EXO1,0.622090476190476
POLD3,EXO1,0.622090476190476
MSH3,LIG1,0.6214
RPA3,RPA4,0.615847619047619
PMS1,RPA4,0.610433333333333
MLH1,RPA4,0.609661904761905
EXO1,RPA4,0.609661904761905
RFC5,RFC1,0.600050939588146
POLD4,MSH6,0.599685714285714
MSH6,MLH3,0.599685714285714
POLD2,MSH6,0.594757142857143
POLD3,RFC1,0.594757142857143
POLD1,LIG1,0.590419899816958
MSH3,RFC4,0.581361024787105
POLD4,RFC1,0.573614285714286
MLH3,RFC1,0.573614285714286
HMGB1,LIG1,0.572341292041292
PMS2,RFC3,0.570914285714286
RFC4,RPA4,0.568666666666667
MSH6,LIG1,0.568414285714286
LIG1,RFC3,0.567333333333333
RFC2,RPA4,0.567333333333333
MLH1,LIG1,0.565919047619048
EXO1,LIG1,0.565919047619048
MSH3,RFC3,0.565123809523809
POLD4,RFC3,0.5625
MLH3,RFC3,0.5625
PMS1,RFC3,0.5625
POLD4,EXO1,0.559480952380952
MLH3,EXO1,0.559480952380952
PMS1,EXO1,0.559480952380952
POLD4,HMGB1,0.558317482517482
MLH3,HMGB1,0.558317482517482
PMS1,HMGB1,0.558317482517482
POLD2,HMGB1,0.556360339660339
POLD3,HMGB1,0.556360339660339
PMS2,HMGB1,0.555431768231768
POLD2,RFC5,0.553919047619048
POLD1,RFC5,0.552479808426867
MSH3,RPA4,0.5408
MLH3,RFC5,0.5408
POLD3,MSH6,0.525585714285714
MLH1,PMS2,0.525585714285714
POLD2,MLH1,0.52467619047619
POLD1,RFC2,0.521774190188896
RFC1,RPA4,0.521774190188896
PMS1,PMS2,0.520233333333333
MLH1,PMS1,0.516880952380952
POLD2,RFC3,0.516166666666667
POLD3,RFC3,0.516166666666667
PMS1,RFC5,0.516166666666667
HMGB1,RPA4,0.515527006327006
PMS2,LIG1,0.514
POLD3,LIG1,0.508
POLD2,MSH3,0.503885714285714
POLD3,PMS2,0.501
